# query 1
0 qid:1 1:18.68360131980283 2:-12.638625705175766 
1 qid:1 1:20.384617478964103 2:-12.4296448042464 
2 qid:1 1:15.800705484367374 2:-10.404204726122947 
3 qid:1 1:10.752862102921485 2:-7.848804454687214 
4 qid:1 1:27.51747064325023 2:-14.821566656085878 
5 qid:1 1:27.061755239573436 2:-14.54933077396421 
6 qid:1 1:21.820543092867464 2:-12.122523940481924 
7 qid:1 1:31.831773092750012 2:-16.076653077146467 
8 qid:1 1:33.71366323614543 2:-16.342466686863578 
9 qid:1 1:37.123620120554136 2:-15.651343262099015 
10 qid:1 1:52.058264200771454 2:-18.645993287972953 
11 qid:1 1:53.05369799145925 2:-18.550244052957893 
12 qid:1 1:62.820915911181274 2:-21.54858504325723 
13 qid:1 1:61.16650841024882 2:-20.388836136749752 
14 qid:1 1:63.25759205465487 2:-21.015811313838974 
15 qid:1 1:67.98220599704912 2:-21.4454908508043 
16 qid:1 1:70.96035865805385 2:-19.235766969915456 
# query 2
0 qid:2 1:24.656152486672195 2:-15.189829879139065 
1 qid:2 1:22.54738850118182 2:-13.195641786093606 
2 qid:2 1:15.253989866801614 2:-9.905188225195852 
3 qid:2 1:9.921048164503109 2:-7.573319209544354 
4 qid:2 1:12.300287115949958 2:-8.091846480792121 
5 qid:2 1:26.575359429987607 2:-13.194326240555338 
6 qid:2 1:29.31259932039016 2:-14.09259582711066 
7 qid:2 1:34.25694665143039 2:-16.17907060912981 
8 qid:2 1:34.232698403523926 2:-15.974695555385265 
9 qid:2 1:38.63244450095662 2:-17.169975333758536 
10 qid:2 1:44.60597457117897 2:-19.503573622631077 
11 qid:2 1:54.410358426402894 2:-20.83439179116743 
12 qid:2 1:57.48933668395364 2:-19.568800163931744 
13 qid:2 1:60.1014062740515 2:-19.94198286045913 
14 qid:2 1:62.78140927844774 2:-20.238398079654257 
15 qid:2 1:64.48352289193694 2:-20.820420051783227 
16 qid:2 1:66.94070034250024 2:-19.45271500712346 
# query 3
0 qid:3 1:26.077276729016642 2:-15.548549967237879 
1 qid:3 1:9.075451638653426 2:-7.59776381664407 
2 qid:3 1:10.993120022365702 2:-7.843051645690481 
3 qid:3 1:9.461253244626699 2:-7.135383245762209 
4 qid:3 1:25.88796133567914 2:-13.22542881195412 
5 qid:3 1:33.66479362134182 2:-15.776011097193177 
6 qid:3 1:42.3521163975025 2:-18.255222585130433 
7 qid:3 1:48.340510796277634 2:-19.492141450112022 
8 qid:3 1:50.43770554278453 2:-18.543274096612056 
9 qid:3 1:54.24234382804489 2:-19.134674040310628 
10 qid:3 1:56.31584401053086 2:-19.554112503656672 
11 qid:3 1:53.54082730329283 2:-18.136325729188133 
12 qid:3 1:55.62838434568483 2:-18.48849087712622 
13 qid:3 1:57.80320174624751 2:-18.41936414421823 
