# query 1
0 qid:1 1:21.093942656164337 2:-13.062608050857778 
1 qid:1 1:10.543397333038431 2:-7.900339277406206 
2 qid:1 1:28.46611072492199 2:-15.28746390253458 
3 qid:1 1:9.127201656362653 2:-6.27019508281583 
4 qid:1 1:29.726495999641145 2:-14.828949157981429 
5 qid:1 1:37.752450901710745 2:-16.929350180139377 
6 qid:1 1:42.32866814235731 2:-18.413809308933914 
7 qid:1 1:39.72173925116587 2:-16.689806408052938 
8 qid:1 1:41.409018607630045 2:-17.24338175785821 
9 qid:1 1:35.64180374382141 2:-14.571504801605327 
10 qid:1 1:45.92355385935096 2:-18.898581835123917 
11 qid:1 1:41.047217090271964 2:-16.432664277915244 
12 qid:1 1:53.05369799145925 2:-18.550244052957893 
13 qid:1 1:55.87462868075547 2:-18.326510788819764 
14 qid:1 1:63.25759205465487 2:-21.015811313838974 
15 qid:1 1:64.40460187624201 2:-20.189791145804026 
16 qid:1 1:70.281143385048 2:-21.78150132277905 
# query 2
0 qid:2 1:16.03764160022569 2:-11.496196615463091 
1 qid:2 1:13.791351594087013 2:-10.350682678502894 
2 qid:2 1:24.622508919442087 2:-14.070005096824046 
3 qid:2 1:18.79135160655374 2:-11.528436568437874 
4 qid:2 1:21.05879905243763 2:-12.287504868649192 
5 qid:2 1:9.370060250393232 2:-7.045158083002426 
6 qid:2 1:20.24772178089709 2:-11.70936044363943 
7 qid:2 1:12.05171566158207 2:-7.7886800476012885 
8 qid:2 1:38.63244450095662 2:-17.169975333758536 
9 qid:2 1:48.07142111177633 2:-19.749485789823673 
10 qid:2 1:54.24234382804489 2:-19.134674040310628 
11 qid:2 1:61.33023938869801 2:-21.369421389790386 
12 qid:2 1:57.14944434008409 2:-19.242623545202118 
13 qid:2 1:58.47109646926545 2:-19.465676198554227 
14 qid:2 1:66.54495373075054 2:-22.255837368144146 
15 qid:2 1:59.132612344554815 2:-19.01790692519695 
# query 3
0 qid:3 1:29.595193651908094 2:-16.308448364120867 
1 qid:3 1:11.465107526133906 2:-7.787114201690134 
